time_ps,cv1_A,cv2_A
0.000000000000000000e+00,3.573792934417724609e+00,4.039031028747558594e+00
3.999999910593032837e-02,3.553513288497924805e+00,3.965275287628173828e+00
7.999999821186065674e-02,3.627376317977905273e+00,3.997703790664672852e+00
1.199999973177909851e-01,3.589320898056030273e+00,4.083718299865722656e+00
1.599999964237213135e-01,3.703753948211669922e+00,4.293179035186767578e+00
1.999999880790710449e-01,3.606548070907592773e+00,4.101666450500488281e+00
2.399999946355819702e-01,3.520741939544677734e+00,4.223332405090332031e+00
2.800000011920928955e-01,3.644222021102905273e+00,4.170865058898925781e+00
3.199999928474426270e-01,3.530225038528442383e+00,4.286552429199218750e+00
3.599999845027923584e-01,3.578642129898071289e+00,4.181396484375000000e+00
3.999999761581420898e-01,3.770135402679443359e+00,4.228057384490966797e+00
4.399999976158142090e-01,3.597973108291625977e+00,3.995931148529052734e+00
4.799999892711639404e-01,3.607790470123291016e+00,4.037660598754882812e+00
5.199999809265136719e-01,3.645824193954467773e+00,4.181481838226318359e+00
5.600000023841857910e-01,3.529458761215209961e+00,4.046161174774169922e+00
5.999999642372131348e-01,3.486010789871215820e+00,4.060945987701416016e+00
6.399999856948852539e-01,3.651831388473510742e+00,4.069152832031250000e+00
6.800000071525573730e-01,3.575176477432250977e+00,3.866600751876831055e+00
7.199999690055847168e-01,3.715015172958374023e+00,4.062750339508056641e+00
7.599999904632568359e-01,3.635475158691406250e+00,4.202510356903076172e+00
7.999999523162841797e-01,3.569866657257080078e+00,4.186428546905517578e+00
8.399999737739562988e-01,3.569300651550292969e+00,4.087898254394531250e+00
8.799999952316284180e-01,3.698651552200317383e+00,4.114243507385253906e+00
9.199999570846557617e-01,3.530356884002685547e+00,4.113867759704589844e+00
9.599999785423278809e-01,3.604592084884643555e+00,4.217955112457275391e+00
1.000000000000000000e+00,3.588733673095703125e+00,4.024435520172119141e+00
1.039999961853027344e+00,3.698826551437377930e+00,3.798311710357666016e+00
1.079999923706054688e+00,3.594529628753662109e+00,4.016597747802734375e+00
1.120000004768371582e+00,3.528749227523803711e+00,4.204562664031982422e+00
1.159999966621398926e+00,3.676331758499145508e+00,3.935305595397949219e+00
1.199999928474426270e+00,3.579273939132690430e+00,4.182696819305419922e+00
1.240000009536743164e+00,3.575916528701782227e+00,4.242120742797851562e+00
1.279999971389770508e+00,3.541558504104614258e+00,4.222203254699707031e+00
1.319999933242797852e+00,3.611100435256958008e+00,4.170899391174316406e+00
1.360000014305114746e+00,3.656287431716918945e+00,4.069337368011474609e+00
1.399999976158142090e+00,3.617570161819458008e+00,4.165032863616943359e+00
1.439999938011169434e+00,3.647905588150024414e+00,4.183335781097412109e+00
1.480000019073486328e+00,3.459381818771362305e+00,3.954825162887573242e+00
1.519999980926513672e+00,3.667214155197143555e+00,3.977188587188720703e+00
1.559999942779541016e+00,3.601173877716064453e+00,4.038259983062744141e+00
1.599999904632568359e+00,3.581353902816772461e+00,4.079657077789306641e+00
1.639999985694885254e+00,3.729088306427001953e+00,3.817929267883300781e+00
1.679999947547912598e+00,3.631583213806152344e+00,4.006927490234375000e+00
1.719999909400939941e+00,3.567855596542358398e+00,4.203123569488525391e+00
1.759999990463256836e+00,3.598626136779785156e+00,4.039463996887207031e+00
1.799999952316284180e+00,3.555096864700317383e+00,3.944732427597045898e+00
1.839999914169311523e+00,3.724333763122558594e+00,4.076733589172363281e+00
1.879999995231628418e+00,3.534403085708618164e+00,4.026855468750000000e+00
1.919999957084655762e+00,3.554089069366455078e+00,3.836358547210693359e+00
1.959999918937683105e+00,3.650287866592407227e+00,4.036053657531738281e+00
2.000000000000000000e+00,3.661905050277709961e+00,4.108562469482421875e+00
2.039999961853027344e+00,3.528257846832275391e+00,4.284627437591552734e+00
2.079999923706054688e+00,3.658834934234619141e+00,4.094179153442382812e+00
2.119999885559082031e+00,3.565819263458251953e+00,4.067133426666259766e+00
2.159999847412109375e+00,3.598100662231445312e+00,4.033786773681640625e+00
2.200000047683715820e+00,3.586348295211791992e+00,4.064514160156250000e+00
2.240000009536743164e+00,3.625086784362792969e+00,4.282178401947021484e+00
2.279999971389770508e+00,3.655137777328491211e+00,4.148915290832519531e+00
2.319999933242797852e+00,3.652594327926635742e+00,3.985807657241821289e+00
2.359999895095825195e+00,3.662446975708007812e+00,4.201159954071044922e+00
2.399999856948852539e+00,3.575682878494262695e+00,4.102651596069335938e+00
2.440000057220458984e+00,3.582440376281738281e+00,4.206257820129394531e+00
2.480000019073486328e+00,3.562470912933349609e+00,4.242263317108154297e+00
2.519999980926513672e+00,3.559835195541381836e+00,4.099274635314941406e+00
2.559999942779541016e+00,3.606398344039916992e+00,4.181824207305908203e+00
2.599999904632568359e+00,3.664971828460693359e+00,4.149059295654296875e+00
2.639999866485595703e+00,3.554448843002319336e+00,4.008581161499023438e+00
2.679999828338623047e+00,3.685742378234863281e+00,4.017623901367187500e+00
2.720000028610229492e+00,3.545098781585693359e+00,4.143525123596191406e+00
2.759999990463256836e+00,3.672007560729980469e+00,4.069568634033203125e+00
2.799999952316284180e+00,3.558761119842529297e+00,3.982643365859985352e+00
2.839999914169311523e+00,3.588818311691284180e+00,3.896561384201049805e+00
2.879999876022338867e+00,3.644185781478881836e+00,3.736379623413085938e+00
2.919999837875366211e+00,3.510351896286010742e+00,3.983560800552368164e+00
2.960000038146972656e+00,3.624536752700805664e+00,4.270184993743896484e+00
3.000000000000000000e+00,3.628129005432128906e+00,3.967173337936401367e+00
3.039999961853027344e+00,3.572186708450317383e+00,3.888805866241455078e+00
3.079999923706054688e+00,3.678586721420288086e+00,3.911474466323852539e+00
3.119999885559082031e+00,3.655174016952514648e+00,4.158967018127441406e+00
3.159999847412109375e+00,3.544714450836181641e+00,4.066110134124755859e+00
3.199999809265136719e+00,3.703799486160278320e+00,4.083519935607910156e+00
3.240000009536743164e+00,3.480386018753051758e+00,4.012721538543701172e+00
3.279999971389770508e+00,3.607395648956298828e+00,4.090453147888183594e+00
3.319999933242797852e+00,3.571926355361938477e+00,4.249180316925048828e+00
3.359999895095825195e+00,3.788918018341064453e+00,4.135991573333740234e+00
3.399999856948852539e+00,3.620836496353149414e+00,3.903265953063964844e+00
3.439999818801879883e+00,3.552134275436401367e+00,4.005821228027343750e+00
3.480000019073486328e+00,3.669858932495117188e+00,4.029825687408447266e+00
3.519999980926513672e+00,3.523221731185913086e+00,3.885719776153564453e+00
3.559999942779541016e+00,3.810147047042846680e+00,3.886729001998901367e+00
3.599999904632568359e+00,3.716517210006713867e+00,4.042186260223388672e+00
3.639999866485595703e+00,3.481526374816894531e+00,3.973372936248779297e+00
3.679999828338623047e+00,3.785081148147583008e+00,4.195658683776855469e+00
3.720000028610229492e+00,3.624827861785888672e+00,3.987988948822021484e+00
3.759999990463256836e+00,3.580446958541870117e+00,3.997211456298828125e+00
3.799999952316284180e+00,3.561973333358764648e+00,3.924963474273681641e+00
3.839999914169311523e+00,3.664743900299072266e+00,3.824573755264282227e+00
3.879999876022338867e+00,3.542376518249511719e+00,3.858415365219116211e+00
3.919999837875366211e+00,3.698154926300048828e+00,4.022292613983154297e+00
3.959999799728393555e+00,3.593604326248168945e+00,3.923064470291137695e+00
