cv1_distance_A,bias_kcal_per_mol
-1.663452578562593764e+00,2.072252020244841619e-01
-1.622635499933828385e+00,2.284498627166294815e-01
-1.581818421305062783e+00,2.516962921825859345e-01
-1.541001342676297403e+00,2.771351092011934414e-01
-1.500184264047532023e+00,3.049482592223083932e-01
-1.459367185418766644e+00,3.353293626856819198e-01
-1.418550106790001042e+00,3.684840203169552630e-01
-1.377733028161235662e+00,4.046300672234988682e-01
-1.336915949532470282e+00,4.439977671477172705e-01
-1.296098870903704903e+00,4.868299378223003293e-01
-1.255281792274939301e+00,5.333819980232167302e-01
-1.214464713646173921e+00,5.839219266450890178e-01
-1.173647635017408319e+00,6.387301239432418010e-01
-1.132830556388642940e+00,6.980991650107469804e-01
-1.092013477759877560e+00,7.623334356005566637e-01
-1.051196399131112180e+00,8.317486405754015433e-01
-1.010379320502346800e+00,9.066711755839713671e-01
-9.695622418735811987e-01,9.874373530325364356e-01
-9.287451632448158190e-01,1.074392474056916846e+00
-8.879280846160503282e-01,1.167889739009336791e+00
-8.471110059872849485e-01,1.268288989965125069e+00
-8.062939273585194577e-01,1.375955279930176856e+00
-7.654768487297540780e-01,1.491257264793747206e+00
-7.246597701009885872e-01,1.614565415622032596e+00
-6.838426914722230965e-01,1.746250050622315086e+00
-6.430256128434577167e-01,1.886679188018501652e+00
-6.022085342146923370e-01,2.036216223156045224e+00
-5.613914555859267352e-01,2.195217435383781446e+00
-5.205743769571613555e-01,2.364029332624415058e+00
-4.797572983283959758e-01,2.542985844023278208e+00
-4.389402196996305960e-01,2.732405373632183387e+00
-3.981231410708649943e-01,2.932587730714353746e+00
-3.573060624420996145e-01,3.143810954917922729e+00
-3.164889838133342348e-01,3.366328057228273440e+00
-2.756719051845686330e-01,3.600363700242007692e+00
-2.348548265558032533e-01,3.846110843877617480e+00
-1.940377479270378736e-01,4.103727385123451477e+00
-1.532206692982724938e-01,4.373332822802114883e+00
-1.124035906695068920e-01,4.655004980592263308e+00
-7.158651204074151231e-02,4.948776823698765703e+00
-3.076943341197613258e-02,5.254633406626577852e+00
1.004764521678946920e-02,5.572508991546603063e+00
5.086472384555484894e-02,5.902284378835063627e+00
9.168180247432022867e-02,6.243784493659763513e+00
1.324988811030856084e-01,6.596776275174273785e+00
1.733159597318512102e-01,6.960966918230619527e+00
2.141330383606165899e-01,7.336002521879073868e+00
2.549501169893819696e-01,7.721467204723629685e+00
2.957671956181475714e-01,8.116882754967592817e+00
3.365842742469129512e-01,8.521708893321308764e+00
3.774013528756783309e-01,8.935344240522169912e+00
4.182184315044437106e-01,9.357128098726560594e+00
4.590355101332090904e-01,9.786343178123283693e+00
4.998525887619744701e-01,1.022221942729838240e+01
5.406696673907402939e-01,1.066393915839048567e+01
5.814867460195056736e-01,1.111064369570684285e+01
6.223038246482710534e-01,1.156144181835682438e+01
6.631209032770364331e-01,1.201542031182660430e+01
7.039379819058018128e-01,1.247165698731484085e+01
7.447550605345671926e-01,1.292923656667610821e+01
7.855721391633325723e-01,1.338726985890706978e+01
8.263892177920983961e-01,1.384491666337399529e+01
8.672062964208637759e-01,1.430141281573296475e+01
9.080233750496291556e-01,1.475610173348711029e+01
9.488404536783945353e-01,1.520847070710858873e+01
9.896575323071599151e-01,1.565819200735060868e+01
1.030474610935925295e+00,1.610516862896059465e+01
1.071291689564690675e+00,1.654958415818029138e+01
1.112108768193456498e+00,1.699195583511714247e+01
1.152925846822221878e+00,1.743318939082208985e+01
1.193742925450987258e+00,1.787463369473520203e+01
1.234560004079752638e+00,1.831813269078542206e+01
1.275377082708518017e+00,1.876607159130309199e+01
1.316194161337283397e+00,1.922141392321144338e+01
1.357011239966048777e+00,1.968772589234723114e+01
1.397828318594814601e+00,2.016918478286006433e+01
1.438645397223579980e+00,2.067056888504250978e+01
1.479462475852345360e+00,2.119722788473397657e+01
1.520279554481110740e+00,2.175503484969419077e+01
1.561096633109876120e+00,2.235032392806165191e+01
1.601913711738641499e+00,2.298982150468530250e+01
1.642730790367406879e+00,2.368058251061812314e+01
1.683547868996172703e+00,2.442994725314737536e+01
1.724364947624938083e+00,2.524553663499950673e+01
1.765182026253703462e+00,2.613530379049462837e+01
1.805999104882468842e+00,2.710765663592527019e+01
1.846816183511234222e+00,2.817165729752316139e+01
1.887633262139999601e+00,2.933728989127491360e+01
1.928450340768764981e+00,3.061576752214217123e+01
1.969267419397530805e+00,3.201982373873496357e+01
2.010084498026296185e+00,3.356390576830018802e+01
2.050901576655061564e+00,3.526416124584578426e+01
2.091718655283826944e+00,3.713809306326484005e+01
2.132535733912592324e+00,3.920375557094173047e+01
2.173352812541357704e+00,4.147838654459133068e+01
2.214169891170123083e+00,4.397641797870745251e+01
2.254986969798888907e+00,4.670688591779433807e+01
2.295804048427654287e+00,4.967036071966645494e+01
2.336621127056419667e+00,5.285563350858325293e+01
2.377438205685185046e+00,5.623650523652182898e+01
2.418255284313950426e+00,5.976911070731501496e+01
2.459072362942715806e+00,6.339024936775663832e+01
2.499889441571481186e+00,6.701716957355107240e+01
2.540706520200246565e+00,7.054915368539225540e+01
2.581523598829011945e+00,7.387108011550334652e+01
2.622340677457777325e+00,7.685891152180971631e+01
2.663157756086542705e+00,7.938680470778892584e+01
2.703974834715308972e+00,8.133529517796884534e+01
2.744791913344074352e+00,8.259981782909214587e+01
2.785608991972839732e+00,8.309871979468509551e+01
2.826426070601605112e+00,8.277992450647609246e+01
2.867243149230370491e+00,8.162552271807267346e+01
2.908060227859135871e+00,7.965378267349917962e+01
2.948877306487901251e+00,7.691835709978515467e+01
2.989694385116666631e+00,7.350477732925202190e+01
3.030511463745432010e+00,6.952461917247947554e+01
3.071328542374197390e+00,6.510796036095234740e+01
3.112145621002962770e+00,6.039489611774766331e+01
3.152962699631728150e+00,5.552692400162791841e+01
3.193779778260493529e+00,5.063895446690456481e+01
3.234596856889258909e+00,4.585256680073729285e+01
3.275413935518025177e+00,4.127093830053632928e+01
3.316231014146790557e+00,3.697565903786870223e+01
3.357048092775555936e+00,3.302543539314093834e+01
3.397865171404321316e+00,2.945650723396394710e+01
3.438682250033086696e+00,2.628447242634272385e+01
3.479499328661852076e+00,2.350713554505112413e+01
3.520316407290617455e+00,2.110797412260323469e+01
3.561133485919382835e+00,1.905983801488637042e+01
3.601950564548148215e+00,1.732855384089911155e+01
3.642767643176913595e+00,1.587618366546952409e+01
3.683584721805678974e+00,1.466377222835333605e+01
3.724401800434444354e+00,1.365349911232766722e+01
3.765218879063209734e+00,1.281022318072802157e+01
3.806035957691975113e+00,1.210246149042605879e+01
3.846853036320740493e+00,1.150288182782638557e+01
3.887670114949506761e+00,1.098840768337572449e+01
3.928487193578272141e+00,1.054003935719954299e+01
3.969304272207037521e+00,1.014248850932658819e+01
4.010121350835802900e+00,9.783709703643685529e+00
4.050938429464568280e+00,9.454394977584838600e+00
4.091755508093333660e+00,9.147479202830858469e+00
4.132572586722099039e+00,8.857687162589284569e+00
4.173389665350864419e+00,8.581139180590781734e+00
4.214206743979629799e+00,8.315021362255363258e+00
4.255023822608395179e+00,8.057319033505560668e+00
4.295840901237160558e+00,7.806607387817194876e+00
4.336657979865925938e+00,7.561891080285165323e+00
4.377475058494691318e+00,7.322483893479280859e+00
4.418292137123456698e+00,7.087920052189216058e+00
4.459109215752222966e+00,6.857889801248203909e+00
4.499926294380988345e+00,6.632193129581431812e+00
4.540743373009753725e+00,6.410706793120315439e+00
4.581560451638519105e+00,6.193360928033778912e+00
4.622377530267284484e+00,5.980122496135161114e+00
4.663194608896049864e+00,5.770983556707317774e+00
4.704011687524815244e+00,5.565952930991892700e+00
4.744828766153580624e+00,5.365050247032302266e+00
4.785645844782346003e+00,5.168301655761911917e+00
4.826462923411111383e+00,4.975736723661965399e+00
4.867280002039876763e+00,4.787386157311879664e+00
4.908097080668642143e+00,4.603280119503613932e+00
4.948914159297407522e+00,4.423446969110260696e+00
4.989731237926172902e+00,4.247912307400354415e+00
5.030548316554939170e+00,4.076698248780768807e+00
5.071365395183704550e+00,3.909822858690346958e+00
5.112182473812469929e+00,3.747299718730857876e+00
5.152999552441235309e+00,3.589137591289040419e+00
5.193816631070000689e+00,3.435340164382612471e+00
5.234633709698766069e+00,3.285905863316315845e+00
5.275450788327531448e+00,3.140827719718102262e+00
5.316267866956296828e+00,3.000093291186137989e+00
5.357084945585062208e+00,2.863684626509867659e+00
5.397902024213827588e+00,2.731578272519538775e+00
5.438719102842592967e+00,2.603745319275169390e+00
5.479536181471358347e+00,2.480151480675851783e+00
5.520353260100123727e+00,2.360757207758057863e+00
5.561170338728889107e+00,2.245517832029790384e+00
5.601987417357655374e+00,2.134383736205651250e+00
5.642804495986420754e+00,2.027300549699216248e+00
5.683621574615186134e+00,1.924209366214525874e+00
5.724438653243951514e+00,1.825046980771645178e+00
5.765255731872716893e+00,1.729746143509114154e+00
5.806072810501482273e+00,1.638235827632845032e+00
5.846889889130247653e+00,1.550441508927793866e+00
5.887706967759013033e+00,1.466285454315136905e+00
5.928524046387778412e+00,1.385687017022575240e+00
5.969341125016543792e+00,1.308562936036657964e+00
6.010158203645309172e+00,1.234827637621688234e+00
6.050975282274074551e+00,1.164393536817253993e+00
6.091792360902839931e+00,1.097171336963610910e+00
6.132609439531605311e+00,1.033070325448530724e+00
6.173426518160371579e+00,9.719986640188359450e-01
6.214243596789136959e+00,9.138636721525145168e-01
6.255060675417902338e+00,8.585721021412987541e-01
6.295877754046667718e+00,8.060304046871765715e-01
6.336694832675433098e+00,7.561449839679876828e-01
6.377511911304197589e+00,7.088224412757526682e-01
6.418328989932963857e+00,6.639698064755231721e-01
6.459146068561728349e+00,6.214947566713816540e-01
6.499963147190494617e+00,5.813058215988444744e-01
6.540780225819260885e+00,5.433125753888808918e-01
6.581597304448025376e+00,5.074258144671971449e-01
6.622414383076791644e+00,4.735577214632936127e-01
6.663231461705556136e+00,4.416220151065819444e-01
6.704048540334322404e+00,4.115340861813680529e-01
6.744865618963086895e+00,3.832111196989229640e-01
6.785682697591853163e+00,3.565722035228141018e-01
6.826499776220617655e+00,3.315384237536599943e-01
6.867316854849383922e+00,3.080329472412471348e-01
6.908133933478148414e+00,2.859810916461017483e-01
6.948951012106914682e+00,2.653103835190610549e-01
6.989768090735679174e+00,2.459506049067460565e-01
7.030585169364445441e+00,2.278338290231727570e-01
7.071402247993211709e+00,2.108944455536504725e-01
7.112219326621976201e+00,1.950691761767823773e-01
7.153036405250742469e+00,1.802970809043822342e-01
7.193853483879506960e+00,1.665195558477485793e-01
7.234670562508273228e+00,1.536803230224263739e-01
7.275487641137037720e+00,1.417254128028353766e-01
7.316304719765803988e+00,1.306031396332234529e-01
7.357121798394568479e+00,1.202640715928804949e-01
7.397938877023334747e+00,1.106609944016670732e-01
7.438755955652099239e+00,1.017488704372016134e-01
7.479573034280865507e+00,9.348479331775204348e-02
7.520390112909629998e+00,8.582793858546597376e-02
7.561207191538396266e+00,7.873951100328573094e-02
7.602024270167160758e+00,7.218268895614471381e-02
7.642841348795927026e+00,6.612256642304492615e-02
7.683658427424693294e+00,6.052609296173935144e-02
7.724475506053457785e+00,5.536201212217640305e-02
7.765292584682224053e+00,5.060079867890547589e-02
7.806109663310988545e+00,4.621459504648830346e-02
7.846926741939754812e+00,4.217714721581062448e-02
7.887743820568519304e+00,3.846374052325164661e-02
7.928560899197285572e+00,3.505113553907639873e-02
7.969377977826050063e+00,3.191750433634483325e-02
8.010195056454815443e+00,2.904236737718119202e-02
8.051012135083581711e+00,2.640653122955826174e-02
8.091829213712347979e+00,2.399202730488615015e-02
8.132646292341110694e+00,2.178205178476227619e-02
8.173463370969876962e+00,1.976090688428077530e-02
8.214280449598643230e+00,1.791394357938267540e-02
8.255097528227409498e+00,1.622750590687148733e-02
8.295914606856175766e+00,1.468887692797403791e-02
8.336731685484938481e+00,1.328622642968327675e-02
8.377548764113704749e+00,1.200856042260007618e-02
8.418365842742471017e+00,1.084567247958821874e-02
8.459182921371237285e+00,9.788096946250995564e-03
8.500000000000000000e+00,8.827064042026469895e-03
